# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# mean_diff = mean(winner leg - loser leg), CR1 interval CLUSTERED BY DAY; sign_for_winner = the direction that points at the paying side
# pair_acc_kfold: the sign is chosen on 4/5 of the DAYS and scored on the held-out fifth — 0.50 is a coin flip
# NON-CAUSAL-BY-DESIGN: the pair set is defined by outcomes, so this table says what information EXISTS in the views, never what a live reader could have selected on
rank	field	layer	group	n_pairs	sign_for_winner	mean_diff	ci_lo	ci_hi	p_clustered_by_day	pair_acc_in_sample	pair_acc_kfold
232	xs_o2_ret60_with	XASSET	xasset_ep	3240	-1	-0.000301291	-0.00234215	0.00173957	0.770649	0.500463	0.4875
233	w600_cancel_retreat_dn	SEQ	seq	3251	1	-0.00615195	-0.503969	0.491666	0.980528	0.502461	0.487081
234	xs_o1_ret300_with	XASSET	xasset_ep	3234	1	0.000554957	-0.00513807	0.00624799	0.84734	0.503092	0.486704
235	rv60_usd	DIGEST	seat	3251	1	-1.09025	-3.16529	0.984788	0.300436	0.501384	0.48662
236	f60_vol	DIGEST	flow	3251	-1	0.246386	-3.86807	4.36084	0.905855	0.501384	0.486004
237	c2f_60	DIGEST	event	3123	1	0.102124	-0.731824	0.936072	0.808897	0.501441	0.485751
238	ask_reload	SEQ	seq	3251	1	-0.569056	-1.68257	0.54446	0.313791	0.500615	0.484313
239	c2f_300	SHEETS	event	3247	-1	-0.105149	-0.521185	0.310887	0.61783	0.502156	0.483369
240	refail_gap_sec	SHEETS	level	3251	-1	-0.436481	-20.4071	19.5341	0.965568	0.502768	0.482467
241	xs_o2_ret300_with	XASSET	xasset_ep	3232	1	-0.00102913	-0.00589543	0.00383717	0.676284	0.502011	0.482209
242	xs_o1_erosion60_with	XASSET	xasset_ep	3251	1	0.0110923	-0.0158429	0.0380276	0.416627	0.512919	0.480621
243	rv_ratio	DIGEST	seat	3246	1	-0.031014	-0.122751	0.0607233	0.504695	0.500154	0.479513
244	xs_o1_sflow300_with	XASSET	xasset_ep	3251	1	0.00291543	-0.0138845	0.0197153	0.731849	0.502615	0.476776
245	room_with_usd	SHEETS	geometry	3251	-1	-74.8366	-366.915	217.242	0.613003	0.513073	0.472162
246	f30m_sflow_with	SHEETS	flow	3251	1	-17.3362	-67.2992	32.6268	0.493556	0.500308	0.471701
247	fuel_share_with	SHEETS	fuel_poc	3250	-1	-0.0238685	-0.0978865	0.0501495	0.52453	0.512769	0.471231
248	ext_needed_usd	DIGEST	geometry	3251	1	10.8851	-54.3665	76.1367	0.741852	0.510458	0.470471
249	room_against_usd	SHEETS	geometry	3251	1	75.3633	-216.974	367.701	0.610825	0.51092	0.470317
250	prev_phase_ret_with	SHEETS	geometry	2019	1	131.953	-317.666	581.571	0.562108	0.512382	0.469292
251	extreme_age_sec	DIGEST	geometry	3251	-1	-113.406	-1417.2	1190.39	0.863608	0.504153	0.459243
